,country,year,attack type,target industry,financial loss (in million $),number of affected users,security vulnerability type,defense mechanism used,incident resolution time (in hours),data breach in gb
9811,japan,2021,phishing,it,81.26,502006.5,zero day,firewall,37.0,19.05
9812,japan,2017,sql injection,it,66.81,502006.5,zero day,antivirus,64.0,97.3
9813,australia,2016,malware,education,88.87,235062.0,weak passwords,firewall,37.0,55.2
9814,brazil,2022,phishing,healthcare,51.41,132520.0,zero day,antivirus,56.0,44.7
9815,uk,2020,sql injection,retail,56.57,502006.5,social engineering,vpn,51.0,74.31
9816,usa,2017,phishing,banking,96.27,637264.0,zero day,ai based detection,11.0,64.81
9817,russia,2021,ddos,it,45.6,502006.5,zero day,vpn,1.0,54.75
9818,uk,2021,ddos,it,69.37,666096.0,zero day,encryption,9.0,10.65
9819,india,2021,sql injection,telecommunications,68.91,502006.5,zero day,ai based detection,57.0,55.2
9820,uk,2024,phishing,banking,14.97,214740.0,zero day,encryption,57.0,85.01
9821,brazil,2020,phishing,government,35.94,372653.0,weak passwords,vpn,60.0,98.72
9822,india,2020,phishing,it,64.23,903871.0,unpatched software,encryption,37.0,16.28
9823,india,2015,malware,education,64.29,502006.5,social engineering,vpn,5.0,27.42
9824,australia,2020,malware,government,98.05,193983.0,zero day,antivirus,31.0,41.92
9825,russia,2021,ransomware,telecommunications,11.04,502006.5,zero day,vpn,49.0,5.47
9826,india,2018,sql injection,it,52.05,874254.0,zero day,antivirus,11.0,4.34
9827,germany,2020,phishing,healthcare,28.81,691190.0,unpatched software,firewall,37.0,22.17
9828,china,2020,ddos,it,51.41,412245.0,social engineering,encryption,37.0,55.2
9829,france,2021,phishing,it,53.77,302180.0,weak passwords,ai based detection,11.0,20.5
9830,usa,2016,phishing,government,8.21,537592.0,zero day,antivirus,11.0,55.2
9831,uk,2020,phishing,retail,25.85,632061.0,zero day,antivirus,2.0,16.09
9832,brazil,2015,ddos,retail,67.52,224815.0,social engineering,firewall,32.0,55.2
9833,india,2022,ddos,it,23.91,502006.5,zero day,antivirus,36.0,55.2
9834,japan,2023,man-in-the-middle,telecommunications,86.98,635827.0,social engineering,encryption,72.0,55.2
9835,uk,2020,ransomware,it,63.67,560021.0,zero day,encryption,43.0,265.58
9836,japan,2020,man-in-the-middle,government,61.03,768506.0,zero day,ai based detection,11.0,55.2
9837,australia,2018,phishing,healthcare,39.94,755469.0,social engineering,antivirus,58.0,315.09
9838,uk,2022,ransomware,retail,74.05,205336.0,social engineering,ai based detection,2.0,12.2
9839,france,2020,phishing,it,7.52,957779.0,social engineering,encryption,17.0,8.73
9840,uk,2017,malware,education,29.47,85644.0,social engineering,ai based detection,3.0,10.38
9841,france,2019,man-in-the-middle,telecommunications,75.99,502006.5,zero day,firewall,31.0,404.14
9842,uk,2017,phishing,healthcare,53.57,287762.0,weak passwords,encryption,13.0,24.03
9843,india,2020,phishing,healthcare,51.41,471550.0,zero day,vpn,5.0,8.36
9844,japan,2018,sql injection,it,69.19,33209.0,zero day,ai based detection,66.0,28.6
9845,china,2017,phishing,retail,45.83,395251.0,unpatched software,encryption,33.0,38.17
9846,germany,2019,phishing,it,51.41,491791.0,zero day,encryption,66.0,81.66
9847,australia,2020,phishing,healthcare,53.81,279874.0,unpatched software,ai based detection,66.0,79.55
9848,france,2019,malware,it,71.94,881326.0,unpatched software,firewall,37.0,15.76
9849,uk,2023,ddos,it,68.86,749700.0,zero day,ai based detection,35.0,55.2
9850,uk,2022,phishing,it,97.56,722445.0,weak passwords,antivirus,37.0,20.93
9851,usa,2023,ransomware,government,84.13,695841.0,zero day,ai based detection,21.0,43.19
9852,uk,2020,sql injection,government,40.95,803757.0,zero day,firewall,37.0,152.96
9853,japan,2022,ddos,it,20.16,174510.0,zero day,antivirus,60.0,20.85
9854,germany,2022,sql injection,retail,11.51,857660.0,zero day,vpn,37.0,23.24
9855,uk,2020,sql injection,it,47.67,729265.0,zero day,antivirus,42.0,132.62
9856,india,2023,phishing,retail,38.89,836604.0,unpatched software,antivirus,44.0,15.08
9857,uk,2016,malware,government,91.69,885843.0,unpatched software,ai based detection,46.0,30.66
9858,uk,2015,man-in-the-middle,education,17.94,808798.0,social engineering,encryption,60.0,125.66
9859,uk,2018,phishing,telecommunications,30.5,401208.0,unpatched software,vpn,10.0,1189.32
9860,uk,2020,ransomware,it,77.33,380970.0,zero day,antivirus,44.0,55.2
9861,usa,2021,phishing,healthcare,51.41,248437.0,social engineering,encryption,70.0,110.94
9862,australia,2024,sql injection,retail,66.49,502006.5,weak passwords,ai based detection,37.0,121.05
9863,japan,2018,phishing,education,5.33,502006.5,zero day,firewall,37.0,55.2
9864,india,2020,ransomware,healthcare,10.46,32616.0,zero day,antivirus,63.0,64.94
9865,australia,2017,phishing,healthcare,51.41,290846.0,weak passwords,firewall,37.0,52.21
9866,india,2023,ddos,banking,51.41,502006.5,unpatched software,vpn,37.0,88.44
9867,uk,2020,ddos,it,51.41,182440.0,zero day,firewall,8.0,65.02
9868,australia,2021,phishing,government,30.24,292383.0,social engineering,encryption,71.0,96.5
9869,france,2017,ddos,government,51.41,99728.0,unpatched software,vpn,44.0,34.22
9870,usa,2015,ddos,it,66.39,502006.5,weak passwords,vpn,37.0,59.62
9871,russia,2020,ransomware,it,61.11,502006.5,zero day,antivirus,37.0,8.66
9872,uk,2020,malware,retail,7.65,864358.0,unpatched software,vpn,37.0,33.79
9873,usa,2016,ransomware,retail,9.82,502006.5,zero day,antivirus,37.0,439.77
9874,uk,2016,ddos,it,67.28,413150.0,social engineering,firewall,27.0,88.08
9875,usa,2017,malware,education,13.14,681956.0,social engineering,antivirus,35.0,52.91
9876,australia,2016,man-in-the-middle,it,84.46,94162.0,weak passwords,firewall,15.0,938.41
9877,uk,2020,man-in-the-middle,retail,9.43,565002.0,unpatched software,antivirus,72.0,7.09
9878,france,2017,phishing,retail,90.69,275185.0,zero day,encryption,20.0,10.34
9879,russia,2020,ddos,retail,37.47,476758.0,unpatched software,ai based detection,19.0,712.7
9880,usa,2024,sql injection,banking,7.2,312607.0,zero day,antivirus,37.0,55.2
9881,russia,2020,phishing,banking,94.15,502006.5,weak passwords,vpn,7.0,37.94
9882,australia,2015,malware,healthcare,42.15,680874.0,zero day,antivirus,8.0,9.04
9883,france,2018,ddos,government,15.71,904770.0,social engineering,antivirus,4.0,106.86
9884,uk,2020,phishing,government,98.46,429452.0,weak passwords,antivirus,6.0,123.56
9885,usa,2018,ransomware,healthcare,51.41,502006.5,zero day,antivirus,35.0,55.2
9886,uk,2021,malware,education,51.41,615849.0,unpatched software,encryption,44.0,44.24
9887,uk,2019,phishing,education,99.45,467349.0,zero day,firewall,44.0,55.2
9888,france,2021,sql injection,retail,63.74,235418.0,weak passwords,encryption,28.0,55.2
9889,australia,2017,sql injection,it,51.41,823606.0,weak passwords,encryption,25.0,10.19
9890,china,2020,sql injection,it,89.38,923489.0,zero day,firewall,66.0,357.07
9891,usa,2020,phishing,it,58.57,630793.0,social engineering,ai based detection,64.0,215.67
9892,france,2015,phishing,education,51.41,502006.5,zero day,vpn,37.0,31.67
9893,uk,2019,phishing,government,79.79,133632.0,weak passwords,firewall,8.0,39.46
9894,australia,2017,phishing,it,90.5,42278.0,weak passwords,ai based detection,45.0,44.49
9895,germany,2016,phishing,it,51.41,176471.0,zero day,vpn,37.0,16.99
9896,india,2015,sql injection,it,63.72,916516.0,social engineering,encryption,68.0,28.07
9897,japan,2023,sql injection,government,51.41,502006.5,social engineering,firewall,62.0,36.4
9898,uk,2015,malware,it,82.45,435994.0,unpatched software,encryption,51.0,613.58
9899,india,2016,ransomware,it,51.41,537670.0,unpatched software,encryption,55.0,55.2
9900,russia,2020,malware,banking,39.62,850339.0,zero day,firewall,50.0,221.85
9901,japan,2021,phishing,government,51.41,502006.5,zero day,antivirus,10.0,55.2
9902,france,2020,phishing,government,10.62,405267.0,unpatched software,ai based detection,5.0,10.22
9903,china,2022,ddos,government,80.76,346279.0,zero day,encryption,59.0,51.3
9904,brazil,2016,phishing,telecommunications,51.41,502006.5,zero day,encryption,63.0,234.1
9905,france,2018,sql injection,healthcare,0.95,376206.0,unpatched software,antivirus,37.0,8.27
9906,uk,2018,ransomware,it,27.14,502006.5,zero day,antivirus,37.0,141.86
9907,germany,2023,phishing,it,54.79,393779.0,weak passwords,encryption,39.0,1779.19
9908,russia,2022,ransomware,it,41.08,529025.0,unpatched software,ai based detection,42.0,268.47
9909,brazil,2024,man-in-the-middle,education,8.94,451311.0,weak passwords,encryption,14.0,55.2
9910,india,2020,ransomware,education,98.11,502006.5,social engineering,vpn,28.0,75.76
9911,russia,2024,phishing,healthcare,51.41,480988.0,zero day,antivirus,59.0,233.2
9912,australia,2020,phishing,telecommunications,46.39,605536.0,unpatched software,vpn,61.0,18.6
9913,brazil,2018,ransomware,banking,30.61,502006.5,social engineering,antivirus,31.0,180.15
9914,uk,2018,phishing,banking,43.98,386308.0,weak passwords,antivirus,3.0,55.2
9915,australia,2017,man-in-the-middle,banking,51.41,100855.0,zero day,vpn,2.0,84.34
9916,china,2023,malware,education,23.74,317922.0,zero day,antivirus,18.0,393.08
9917,usa,2018,ddos,it,82.13,502006.5,zero day,firewall,59.0,55.2
9918,india,2015,ransomware,telecommunications,51.41,825941.0,zero day,vpn,54.0,41.24
9919,china,2022,phishing,education,60.9,331234.0,zero day,antivirus,3.0,63.0
9920,china,2020,man-in-the-middle,telecommunications,14.61,855055.0,unpatched software,antivirus,37.0,11.65
9921,japan,2022,phishing,it,34.31,305329.0,unpatched software,firewall,40.0,76.74
9922,japan,2020,phishing,government,32.39,442923.0,zero day,antivirus,37.0,4.14
9923,uk,2015,ransomware,banking,79.3,893277.0,social engineering,firewall,15.0,262.55
9924,china,2020,malware,healthcare,30.86,240532.0,weak passwords,encryption,37.0,58.55
9925,usa,2020,ddos,healthcare,93.14,502006.5,weak passwords,antivirus,55.0,24.99
9926,brazil,2018,malware,healthcare,52.87,437283.0,zero day,antivirus,30.0,15.62
9927,china,2019,phishing,healthcare,29.61,761390.0,weak passwords,antivirus,7.0,38.4
9928,france,2020,phishing,retail,25.75,998507.0,zero day,ai based detection,15.0,153.3
9929,india,2017,phishing,retail,82.17,593329.0,unpatched software,ai based detection,62.0,124.16
9930,uk,2019,phishing,it,60.07,197590.0,zero day,encryption,62.0,55.2
9931,japan,2020,ransomware,banking,50.75,53111.0,social engineering,antivirus,37.0,15.35
9932,australia,2017,phishing,retail,14.88,502006.5,unpatched software,firewall,54.0,146.25
9933,germany,2022,phishing,it,73.98,502006.5,zero day,firewall,54.0,18.48
9934,japan,2023,sql injection,retail,51.41,643549.0,weak passwords,vpn,20.0,59.73
9935,brazil,2022,man-in-the-middle,education,77.98,899279.0,zero day,firewall,39.0,65.74
9936,india,2016,ransomware,education,8.55,857887.0,social engineering,firewall,44.0,87.19
9937,russia,2016,phishing,it,30.57,503775.0,zero day,vpn,71.0,55.2
9938,japan,2015,sql injection,it,51.41,452892.0,weak passwords,vpn,17.0,8.21
9939,russia,2018,ransomware,it,24.06,327566.0,zero day,ai based detection,6.0,55.2
9940,australia,2018,ransomware,education,50.66,502006.5,zero day,firewall,37.0,23.31
9941,uk,2017,man-in-the-middle,government,79.27,923309.0,unpatched software,firewall,29.0,814.27
9942,brazil,2023,phishing,banking,71.86,151590.0,zero day,antivirus,30.0,1133.72
9943,uk,2022,ddos,education,21.01,452432.0,unpatched software,firewall,37.0,851.3
9944,japan,2020,ransomware,it,95.38,769596.0,weak passwords,vpn,65.0,40.88
9945,germany,2022,phishing,banking,14.79,407151.0,weak passwords,antivirus,37.0,3.77
9946,uk,2023,phishing,it,45.97,502006.5,social engineering,ai based detection,67.0,1.62
9947,uk,2019,man-in-the-middle,government,76.39,311908.0,weak passwords,encryption,68.0,55.2
9948,china,2018,malware,banking,68.55,59979.0,zero day,firewall,41.0,40.56
9949,uk,2019,malware,it,9.86,233545.0,zero day,antivirus,55.0,384.11
9950,france,2020,man-in-the-middle,it,89.85,722081.0,zero day,vpn,33.0,200.68
9951,uk,2024,phishing,healthcare,76.99,873037.0,unpatched software,antivirus,37.0,76.79
9952,india,2022,malware,it,51.41,482213.0,social engineering,antivirus,3.0,14.37
9953,india,2020,phishing,education,39.72,512850.0,zero day,antivirus,15.0,55.2
9954,china,2023,man-in-the-middle,telecommunications,51.41,849834.0,zero day,ai based detection,37.0,79.93
9955,brazil,2022,malware,retail,78.03,660707.0,unpatched software,firewall,11.0,155.33
9956,usa,2021,ransomware,education,6.77,697935.0,zero day,ai based detection,16.0,55.2
9957,russia,2019,malware,it,71.92,502006.5,zero day,ai based detection,37.0,11.57
9958,usa,2020,ransomware,it,95.79,239343.0,zero day,vpn,63.0,144.89
9959,china,2023,phishing,it,90.04,502006.5,zero day,ai based detection,57.0,103.43
9960,usa,2020,phishing,it,99.64,464717.0,zero day,vpn,27.0,55.2
9961,russia,2018,sql injection,education,1.25,502006.5,weak passwords,firewall,37.0,55.2
9962,australia,2015,phishing,government,13.96,479025.0,zero day,antivirus,54.0,153.35
9963,germany,2020,ddos,banking,1.62,823004.0,zero day,encryption,22.0,38.41
9964,russia,2021,ddos,education,18.47,394957.0,weak passwords,antivirus,27.0,592.13
9965,france,2019,phishing,telecommunications,28.88,96640.0,social engineering,antivirus,60.0,115.78
9966,russia,2024,ddos,it,19.5,325634.0,weak passwords,firewall,5.0,26.31
9967,uk,2023,phishing,government,51.41,662667.0,zero day,antivirus,30.0,53.77
9968,usa,2020,phishing,it,57.24,107681.0,zero day,vpn,18.0,60.04
9969,russia,2017,phishing,banking,51.41,982243.0,zero day,encryption,6.0,18.31
9970,japan,2020,sql injection,government,79.19,950425.0,social engineering,antivirus,54.0,55.2
9971,brazil,2017,ransomware,education,80.5,279808.0,social engineering,antivirus,60.0,156.35
9972,india,2024,sql injection,telecommunications,71.2,190099.0,zero day,antivirus,37.0,194.01
9973,brazil,2020,malware,government,51.41,713035.0,zero day,ai based detection,59.0,135.05
9974,australia,2020,malware,retail,29.05,817347.0,weak passwords,antivirus,68.0,55.2
9975,uk,2023,ransomware,healthcare,28.18,707214.0,weak passwords,ai based detection,11.0,24.22
9976,uk,2016,ddos,retail,39.26,668780.0,zero day,firewall,37.0,55.2
9977,russia,2015,ddos,it,57.21,609196.0,social engineering,vpn,4.0,14.13
9978,usa,2021,man-in-the-middle,telecommunications,83.88,980367.0,unpatched software,antivirus,37.0,11.95
9979,russia,2022,man-in-the-middle,it,84.1,919858.0,unpatched software,antivirus,37.0,3.9
9980,france,2020,ddos,healthcare,39.49,195459.0,weak passwords,antivirus,14.0,27.97
9981,russia,2015,man-in-the-middle,it,46.76,713342.0,weak passwords,encryption,36.0,25.65
9982,uk,2019,phishing,it,80.68,19007.0,zero day,vpn,29.0,120.17
9983,china,2020,ransomware,government,86.56,502006.5,zero day,antivirus,37.0,55.2
9984,uk,2017,malware,government,51.41,726887.0,social engineering,antivirus,37.0,55.2
9985,russia,2021,ddos,it,78.76,130413.0,social engineering,encryption,66.0,55.2
9986,germany,2020,malware,it,51.41,906914.0,zero day,ai based detection,15.0,31.27
9987,china,2020,ransomware,it,14.94,502006.5,zero day,firewall,70.0,3.8
9988,uk,2018,sql injection,it,51.41,380543.0,weak passwords,vpn,26.0,12.54
9989,uk,2022,phishing,retail,39.55,502006.5,social engineering,antivirus,2.0,17.18
9990,china,2018,phishing,it,51.41,803086.0,social engineering,vpn,37.0,468.92
9991,china,2024,man-in-the-middle,it,63.79,502006.5,zero day,encryption,37.0,72.76
9992,india,2020,malware,banking,51.41,358371.0,weak passwords,ai based detection,30.0,55.2
9993,australia,2020,phishing,retail,9.12,212267.0,zero day,antivirus,14.0,5.77
9994,france,2020,man-in-the-middle,healthcare,51.41,757744.0,zero day,antivirus,37.0,327.45
9995,uk,2020,ransomware,retail,59.13,502006.5,zero day,vpn,47.0,384.39
9996,usa,2024,phishing,telecommunications,51.41,996651.0,weak passwords,antivirus,69.0,2.73
9997,uk,2015,phishing,government,52.78,281905.0,social engineering,antivirus,32.0,18.95
9998,uk,2019,man-in-the-middle,it,7.44,739981.0,social engineering,antivirus,54.0,114.85
9999,france,2016,sql injection,telecommunications,47.19,554448.0,social engineering,antivirus,31.0,143.54
10000,usa,2016,ransomware,healthcare,99.19,745103.0,unpatched software,encryption,8.0,19.73
10001,india,2015,ddos,healthcare,51.41,600279.0,unpatched software,ai based detection,16.0,55.2
10002,russia,2020,man-in-the-middle,it,48.86,973654.0,unpatched software,encryption,37.0,22.29
10003,china,2020,ddos,it,80.48,78123.0,social engineering,antivirus,50.0,64.43
10004,uk,2015,man-in-the-middle,government,51.41,675955.0,zero day,antivirus,60.0,328.9
10005,uk,2016,ddos,it,18.96,122866.0,unpatched software,vpn,37.0,17.17
10006,russia,2018,ransomware,education,66.33,177570.0,social engineering,encryption,37.0,55.2
10007,france,2024,man-in-the-middle,retail,60.4,774913.0,unpatched software,antivirus,43.0,16.9
10008,china,2024,phishing,it,51.41,852327.0,zero day,vpn,44.0,55.2
10009,australia,2019,ddos,it,51.41,775033.0,zero day,antivirus,37.0,55.2
10010,china,2022,phishing,it,71.77,823093.0,zero day,firewall,36.0,217.65
10011,uk,2020,phishing,government,70.59,502006.5,social engineering,encryption,59.0,195.8
10012,japan,2018,ddos,it,75.34,502006.5,unpatched software,antivirus,71.0,7.59
10013,france,2023,malware,it,9.99,116840.0,zero day,firewall,51.0,27.14
10014,uk,2021,ransomware,telecommunications,91.94,502006.5,zero day,firewall,9.0,187.63
10015,russia,2020,ddos,it,66.09,467190.0,social engineering,ai based detection,25.0,58.11
10016,germany,2024,phishing,healthcare,51.41,502006.5,unpatched software,vpn,15.0,10.91
10017,uk,2020,phishing,banking,40.11,874040.0,social engineering,firewall,37.0,108.58
10018,australia,2022,sql injection,healthcare,60.71,8498.0,weak passwords,antivirus,17.0,18.69
10019,usa,2016,ddos,it,51.41,112881.0,social engineering,antivirus,32.0,805.76
10020,japan,2018,ddos,it,9.9,942725.0,zero day,vpn,56.0,554.05
10021,france,2024,phishing,education,52.03,168684.0,unpatched software,vpn,27.0,135.12
10022,japan,2018,ddos,it,25.06,502006.5,zero day,antivirus,37.0,420.53
10023,uk,2016,phishing,retail,13.68,144856.0,unpatched software,antivirus,13.0,60.17
